Type, Product, Started Date, Completed Date, Description, Amount, Fee, Currency, State, Balance
CARD_PAYMENT,Current,2024-08-08 20:18:58,2024-08-09 11:58:22,Shop, -303.27,0.00,INR,COMPLETED,19.79
ATM_WITHDRAWAL,Savings,2024-08-05 15:42:10,2024-08-06 09:12:34,Cash Withdrawal, -5000.00,10.00,INR,COMPLETED,5010.00
ONLINE_TRANSFER,Current,2024-08-10 14:30:00,2024-08-10 16:45:10,Rent, -15000.00,0.00,INR,COMPLETED,20479.79
CARD_PAYMENT,Savings,2024-08-12 18:05:22,2024-08-13 09:25:47,Restaurant, -850.50,0.00,INR,COMPLETED,960.50
ATM_DEPOSIT,Current,2024-08-15 11:30:00,2024-08-15 14:00:00,Salary, 50000.00,0.00,INR,COMPLETED,50479.79
ONLINE_TRANSFER,Savings,2024-08-20 10:00:00,2024-08-20 12:00:00,EMI, -25000.00,0.00,INR,COMPLETED,25960.50
CARD_PAYMENT,Current,2024-08-25 19:22:45,2024-08-26 10:30:15,Grocery, -1200.75,0.00,INR,COMPLETED,49279.04
ATM_WITHDRAWAL,Savings,2024-08-28 08:15:00,2024-08-28 10:45:30,Cash Withdrawal, -2000.00,10.00,INR,COMPLETED,3970.50
ONLINE_TRANSFER,Current,2024-09-01 11:30:00,2024-09-01 13:30:00,Electricity Bill, -3200.00,0.00,INR,COMPLETED,46079.04
CARD_PAYMENT,Savings,2024-09-03 16:45:50,2024-09-04 09:15:20,Movie, -600.00,0.00,INR,COMPLETED,3360.50
ATM_DEPOSIT,Current,2024-09-07 09:00:00,2024-09-07 12:00:00,Bonus, 10000.00,0.00,INR,COMPLETED,56079.04
ONLINE_TRANSFER,Savings,2024-09-10 14:00:00,2024-09-10 15:30:00,Household Items, -4500.00,0.00,INR,COMPLETED,1000.50
CARD_PAYMENT,Current,2024-09-15 20:05:30,2024-09-16 11:20:00,Dining, -900.00,0.00,INR,COMPLETED,55179.04
ATM_WITHDRAWAL,Savings,2024-09-18 10:30:00,2024-09-18 12:00:00,Cash Withdrawal, -3000.00,10.00,INR,COMPLETED,1990.50
ONLINE_TRANSFER,Current,2024-09-22 13:30:00,2024-09-22 15:00:00,Car Maintenance, -7500.00,0.00,INR,COMPLETED,47679.04
CARD_PAYMENT,Savings,2024-09-25 17:50:10,2024-09-26 08:45:30,Shopping, -2500.00,0.00,INR,COMPLETED,490.50
ATM_DEPOSIT,Current,2024-09-01 11:00:00,2024-09-01 14:00:00,Salary, 50000.00,0.00,INR,COMPLETED,97679.04
ONLINE_TRANSFER,Savings,2024-09-05 09:30:00,2024-09-05 10:45:00,EMI, -25000.00,0.00,INR,COMPLETED,25490.50
CARD_PAYMENT,Current,2024-09-08 18:20:00,2024-09-09 10:00:00,Fuel, -1000.00,0.00,INR,COMPLETED,96679.04
ATM_WITHDRAWAL,Savings,2024-09-10 14:15:00,2024-09-10 15:30:00,Cash Withdrawal, -1500.00,10.00,INR,COMPLETED,23980.50
